ACCTAGE,AGE,ATM,ATMAMT,BRANCH,CASHBK,CC,CCBAL,CCPURC,CD,CDBAL,CHECKS,CRSCORE,DDA,DDABAL,DEP,DEPAMT,DIRDEP,HMOWN,HMVAL,ILS,ILSBAL,INAREA,INCOME,INV,INVBAL,IRA,IRABAL,LOC,LOCBAL,LORES,MM,MMBAL,MMCRED,MOVED,MTG,MTGBAL,NSF,NSFAMT,PHONE,POS,POSAMT,RES,SAV,SAVBAL,SDB,TELLER,id
2.7,27.0,1.0,4116.77,B7,0.0,1.0,0.0,0.0,0.0,0.0,4.0,655.0,1.0,3734.81,2.0,3419.17,0.0,0.0,161.0,0.0,0.0,1.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,1.0,451
2.7,45.0,0.0,0.0,B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,1.0,789.23,0.0,0.0,0.0,0.0,110.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,6122
3.0,,1.0,1800.85,B15,0.0,,,,0.0,0.0,16.0,685.0,1.0,5859.17,5.0,3141.83,1.0,1.0,,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,95361.75,1.0,11.95,,,,U,1.0,2403.95,0.0,4.0,5640
1.7,57.0,0.0,0.0,B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,810
2.0,37.0,1.0,0.0,B1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,618.0,1.0,247.64,3.0,558.42,0.0,1.0,83.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.26,R,1.0,29.19,0.0,0.0,22
2.6,,1.0,11134.93,B2,1.0,1.0,275158.33,2.0,0.0,0.0,4.0,696.0,1.0,597.06,4.0,5186.38,0.0,1.0,,1.0,10481.43,1.0,,0.0,0.0,0.0,0.0,1.0,380.47,,1.0,15587.39,0.0,0.0,1.0,248628.94,1.0,9.14,0.0,1.0,97.05,S,0.0,0.0,0.0,0.0,7832
3.7,63.0,1.0,496.14,B7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,617.0,1.0,43.79,5.0,709.04,1.0,1.0,112.0,0.0,0.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.44,0.0,0.0,0.0,U,1.0,72.76,0.0,0.0,9797
3.8,40.0,0.0,0.0,B16,0.0,1.0,22716.17,1.0,0.0,0.0,0.0,668.0,1.0,11222.08,1.0,2363.38,0.0,1.0,118.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,22959.08,0.0,0.0,1.0,22839.22,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,3.0,720
5.2,54.0,0.0,0.0,B15,0.0,,,,0.0,0.0,0.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,1.0,77.0,,,0.0,0.0,0.0,0.0,5.0,1.0,14812.95,1.0,0.0,0.0,0.0,0.0,0.0,,,,R,0.0,0.0,0.0,0.0,7438
17.3,48.0,0.0,0.0,B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,1.0,1040.87,2.0,425.74,1.0,1.0,99.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,1.0,1878
2.7,50.0,0.0,0.0,B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0,1.0,30.09,1.0,912.9,0.0,0.0,131.0,0.0,0.0,1.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,1.0,1.0,9781
1.7,56.0,1.0,1317.64,B3,0.0,1.0,1140.52,0.0,0.0,0.0,5.0,654.0,1.0,576.01,4.0,1458.0,0.0,1.0,78.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1.0,171.17,0.0,2.0,9700
0.3,50.0,1.0,1071.58,B8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,675.0,1.0,423.07,2.0,900.93,0.0,1.0,92.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,218.56,S,0.0,0.0,0.0,0.0,8178
4.9,40.0,1.0,725.63,B7,0.0,1.0,56.91,0.0,0.0,0.0,6.0,696.0,1.0,2091.64,2.0,1303.22,1.0,1.0,116.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,15637.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,1.0,4191.07,0.0,0.0,10374
0.5,36.0,1.0,3404.36,B15,0.0,,,,0.0,0.0,6.0,575.0,1.0,4514.88,3.0,3173.06,1.0,0.0,119.0,0.0,0.0,1.0,52.0,,,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,U,1.0,2466.15,0.0,2.0,4309
3.3,35.0,1.0,124.73,B16,2.0,0.0,0.0,0.0,0.0,0.0,2.0,664.0,1.0,33.47,2.0,1482.29,1.0,0.0,99.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.04,0.0,1.0,9.85,R,1.0,299.19,0.0,3.0,4177
1.0,66.0,1.0,206.54,B6,0.0,1.0,765.3,0.0,0.0,0.0,2.0,743.0,1.0,4793.56,2.0,9368.22,0.0,1.0,109.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,18189.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,4.0,9289
9.3,49.0,0.0,0.0,B2,0.0,1.0,3137.8,0.0,0.0,0.0,3.0,720.0,1.0,13699.71,2.0,4154.6,0.0,1.0,130.0,0.0,0.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.81,0.0,0.0,0.0,S,1.0,28339.12,0.0,0.0,10409
11.9,,1.0,4995.43,B2,0.0,1.0,189.75,0.0,0.0,0.0,7.0,609.0,1.0,1813.66,5.0,3085.34,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,672.85,S,0.0,0.0,0.0,0.0,8210
14.2,,0.0,0.0,B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,1.0,876.83,0.0,0.0,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,9198
4.9,36.0,1.0,18905.27,B3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107.12,U,1.0,3160.43,0.0,0.0,3185
3.3,85.0,1.0,1660.61,B1,0.0,1.0,4660.97,0.0,0.0,0.0,3.0,680.0,1.0,479.9,3.0,1463.18,0.0,0.0,104.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,107.61,U,0.0,0.0,1.0,0.0,9038
1.3,55.0,1.0,233.08,B5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,646.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,1.0,2793.48,0.0,0.0,9477
5.8,,0.0,0.0,B7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,1.0,24989.25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,1326
17.9,56.0,0.0,0.0,B2,0.0,1.0,5.74,0.0,0.0,0.0,1.0,652.0,1.0,803.21,1.0,208.09,0.0,0.0,123.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,15582.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,2.0,3662
1.8,36.0,1.0,1478.82,B2,0.0,1.0,570.0,0.0,0.0,0.0,3.0,652.0,1.0,792.37,3.0,1046.88,0.0,1.0,75.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,2618.88,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,2889
4.4,51.0,0.0,0.0,B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,0.0,0.0,0.0,0.0,0.0,1.0,91.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,7563
1.3,51.0,0.0,0.0,B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,1.0,0.0,2844
3.7,58.0,1.0,35.99,B5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,687.0,1.0,842.11,4.0,2867.7,1.0,1.0,95.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1.0,34.89,0.0,6.0,6861
6.9,58.0,0.0,0.0,B8,0.0,0.0,0.0,0.0,1.0,8600.0,0.0,719.0,1.0,148.14,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,3970
6.8,52.0,1.0,1962.54,B1,0.0,1.0,213.74,0.0,0.0,0.0,5.0,630.0,1.0,659.26,3.0,3129.48,1.0,0.0,130.0,0.0,0.0,1.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1.0,710.76,0.0,0.0,6461
0.7,39.0,1.0,2378.35,B4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,640.0,1.0,652.09,3.0,1798.61,0.0,0.0,96.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.57,0.0,10.0,320.81,S,0.0,0.0,0.0,4.0,10266
0.8,31.0,0.0,0.0,B3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,1.0,87.44,1.0,25.77,0.0,1.0,135.0,0.0,0.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,1.0,297
0.5,44.0,0.0,0.0,B5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0,1.0,1370.9,2.0,777.08,0.0,0.0,98.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,16035.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,1.0,8274
9.7,68.0,1.0,1360.78,B1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,702.0,1.0,2496.7,4.0,1625.91,1.0,1.0,107.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,4420
4.7,23.0,0.0,0.0,B14,0.0,,,,0.0,0.0,0.0,679.0,1.0,952.37,0.0,0.0,0.0,1.0,119.0,1.0,10100.33,1.0,55.0,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,U,0.0,0.0,0.0,0.0,9654
12.6,,1.0,16.32,B7,0.0,1.0,207.38,0.0,0.0,0.0,19.0,703.0,1.0,1171.13,4.0,3353.3,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,9.0,4182
1.0,,1.0,173.81,B2,0.0,0.0,0.0,0.0,1.0,4400.0,12.0,674.0,1.0,2966.02,4.0,2769.21,0.0,,,0.0,0.0,1.0,,0.0,0.0,1.0,8256.97,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,174.23,U,0.0,0.0,1.0,4.0,2507
